pen_id,Status
6671555000708241,Deprime
6671555000708191,Pass
6671555000708058,Pass
6671555000708116,Pass
6671555000708095,Pass
6671555000708202,Pass
6671555000708324,Pass
6671555000708306,Pass
6671555000708260,Pass
6671555000708305,Pass
6671555000708203,Pass
6671555000708081,Pass
6671555000708251,Pass
6671555000708219,Pass
6671555000708211,Pass
6671555000708214,Pass
6671555000708226,Pass
6671555000708320,Pass
6671555000708167,Pass
6671555000708194,Pass
6671555000708290,Pass
6671555000708213,Pass
6671555000708242,Pass
6671555000708162,Pass
6671555000708209,Pass
6671555000708246,Pass
6671555000708333,Pass
6671555000708097,Pass
6671555000708185,Pass
6671555000708201,Pass
6671555000708149,Pass
6671555000708132,Pass
6671555000708270,Pass
6671555000708336,Pass
6671555000708200,Pass
6671555000708084,Pass
6671555000708259,Pass
6671555000708168,Pass
6671555000708234,Pass
6671555000708157,Pass
6671555000708192,Pass
6671555000708233,Pass
