pen_id,param_ky,part_ts,reclaim_ct,vchar_param_vl,int_param_vl,dbl_param_vl,param_nm,param_dn,datatag_cd,datatype_cd,equip_ky,equip_nm,line_nm,equip_type_ky,equip_type_nm,process_ky,process_nm,last_reclaim_fg,source_db_insert_ts,db_data_source_cd,insert_ts,update_ts,sort_key_dt
6671555000708241,44101,2023-07-06 18:38:32.000,1,,1139,,[ADHESIVE DISPENSE]-[TIJ2X R1 22 ADH INSPECT]-[UV3Vol],UV3 Volume,UV3Vol,INTEGER,57146,G5M5_Z2_2-DIT-1ADH_INS_B,Magma5,13838,TIJ2X R1 22 ADH INSPECT,2457,ADHESIVE DISPENSE,Y,2023-07-06 19:12:37.823,MAGMA5,2023-07-06 14:05:04.380,2023-07-06 14:05:04.380,2023-07-06
6671555000708241,44082,2023-07-06 18:38:32.000,1,,256,,[ADHESIVE DISPENSE]-[TIJ2X R1 22 ADH INSPECT]-[FS2CoGX],FS2 CoG X Delta,FS2CoGX,INTEGER,57146,G5M5_Z2_2-DIT-1ADH_INS_B,Magma5,13838,TIJ2X R1 22 ADH INSPECT,2457,ADHESIVE DISPENSE,Y,2023-07-06 19:12:36.623,MAGMA5,2023-07-06 14:05:04.380,2023-07-06 14:05:04.380,2023-07-06
6671555000708241,44083,2023-07-06 18:38:32.000,1,,17,,[ADHESIVE DISPENSE]-[TIJ2X R1 22 ADH INSPECT]-[FS2CoGY],FS2 CoG Y Delta,FS2CoGY,INTEGER,57146,G5M5_Z2_2-DIT-1ADH_INS_B,Magma5,13838,TIJ2X R1 22 ADH INSPECT,2457,ADHESIVE DISPENSE,Y,2023-07-06 19:12:36.623,MAGMA5,2023-07-06 14:05:04.380,2023-07-06 14:05:04.380,2023-07-06
6671555000708241,44084,2023-07-06 18:38:32.000,1,,1203,,[ADHESIVE DISPENSE]-[TIJ2X R1 22 ADH INSPECT]-[UV1Area],UV1 Area,UV1Area,INTEGER,57146,G5M5_Z2_2-DIT-1ADH_INS_B,Magma5,13838,TIJ2X R1 22 ADH INSPECT,2457,ADHESIVE DISPENSE,Y,2023-07-06 19:12:36.623,MAGMA5,2023-07-06 14:05:04.380,2023-07-06 14:05:04.380,2023-07-06
6671555000708241,44085,2023-07-06 18:38:32.000,1,,1313,,[ADHESIVE DISPENSE]-[TIJ2X R1 22 ADH INSPECT]-[UV1Diam],UV1 Max Diameter,UV1Diam,INTEGER,57146,G5M5_Z2_2-DIT-1ADH_INS_B,Magma5,13838,TIJ2X R1 22 ADH INSPECT,2457,ADHESIVE DISPENSE,Y,2023-07-06 19:12:36.640,MAGMA5,2023-07-06 14:05:04.380,2023-07-06 14:05:04.380,2023-07-06
6671555000708241,44086,2023-07-06 18:38:32.000,1,,191,,[ADHESIVE DISPENSE]-[TIJ2X R1 22 ADH INSPECT]-[UV1CoGX],UV1 CoG X Delta,UV1CoGX,INTEGER,57146,G5M5_Z2_2-DIT-1ADH_INS_B,Magma5,13838,TIJ2X R1 22 ADH INSPECT,2457,ADHESIVE DISPENSE,Y,2023-07-06 19:12:36.640,MAGMA5,2023-07-06 14:05:04.380,2023-07-06 14:05:04.380,2023-07-06
6671555000708241,44087,2023-07-06 18:38:32.000,1,,302,,[ADHESIVE DISPENSE]-[TIJ2X R1 22 ADH INSPECT]-[UV1CoGY],UV1 CoG Y Delta,UV1CoGY,INTEGER,57146,G5M5_Z2_2-DIT-1ADH_INS_B,Magma5,13838,TIJ2X R1 22 ADH INSPECT,2457,ADHESIVE DISPENSE,Y,2023-07-06 19:12:36.717,MAGMA5,2023-07-06 14:05:04.380,2023-07-06 14:05:04.380,2023-07-06
6671555000708241,44193,2023-07-06 18:40:25.000,5,,5,,[IHA ADHESIVE CURE]-[TIJ2X R1 22 IHA CURE PALLETS]-[nozzle_ID],Nozzle Bank ID,nozzle_ID,INTEGER,57183,G5M5_Z2_2-CURE-PALLETS,Magma5,13855,TIJ2X R1 22 IHA CURE PALLETS,2458,IHA ADHESIVE CURE,N,2023-07-06 19:15:41.997,MAGMA5,2023-07-06 14:05:04.380,2023-07-06 14:05:04.380,2023-07-06
6671555000708241,44192,2023-07-06 18:40:25.000,5,,5,,[IHA ADHESIVE CURE]-[TIJ2X R1 22 IHA CURE PALLETS]-[Heat_bank],Heater Bank ID,Heat_bank,INTEGER,57183,G5M5_Z2_2-CURE-PALLETS,Magma5,13855,TIJ2X R1 22 IHA CURE PALLETS,2458,IHA ADHESIVE CURE,N,2023-07-06 19:15:41.997,MAGMA5,2023-07-06 14:05:04.380,2023-07-06 14:05:04.380,2023-07-06
6671555000708241,44194,2023-07-06 18:40:25.000,5,,135,,[IHA ADHESIVE CURE]-[TIJ2X R1 22 IHA CURE PALLETS]-[Heat_Temp],Heater Temperature,Heat_Temp,INTEGER,57183,G5M5_Z2_2-CURE-PALLETS,Magma5,13855,TIJ2X R1 22 IHA CURE PALLETS,2458,IHA ADHESIVE CURE,N,2023-07-06 19:15:41.997,MAGMA5,2023-07-06 14:05:04.380,2023-07-06 14:05:04.380,2023-07-06
